"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.838088750E-1,-8.127790555E-1,4.513435064E-1,-3.126931302E0,3.262210925E0
9.937888750E-1,-8.745564969E-1,3.864972270E-1,-2.995809830E0,3.144694852E0
1.003768875E0,-9.546246135E-1,2.833192696E-1,-2.609260343E0,2.792815336E0
1.013749875E0,-8.645397048E-1,2.592847465E-1,-2.241823066E0,2.416697776E0
1.023729875E0,-7.460791357E-1,2.805745683E-1,-2.122696572E0,2.267420760E0
1.033709875E0,-4.595179870E-1,3.568835648E-1,-2.477777513E0,2.545172698E0
1.043689875E0,1.000330690E-1,6.502015366E-1,-2.706971995E0,2.785761302E0
1.053669875E0,2.920318037E-1,9.122269645E-1,-2.596957217E0,2.767964486E0
1.063650875E0,3.107984423E-1,9.638652608E-1,-2.535339843E0,2.730124545E0
1.073630875E0,2.569297986E-1,1.061484892E0,-2.488635208E0,2.717732197E0
1.083610875E0,1.525169824E-1,1.249447220E0,-2.306154132E0,2.627304069E0
1.093590875E0,1.048262144E-1,1.258056514E0,-1.936561571E0,2.311701851E0
1.103571875E0,-7.309019566E-8,1.119021932E0,-1.682716398E0,2.020827692E0
1.113551875E0,1.118191189E-1,1.058530293E0,-1.615009149E0,1.934229679E0
1.123531875E0,1.853258556E-1,1.029296920E0,-1.407793767E0,1.753761988E0
1.133511875E0,5.740134861E-2,9.760412103E-1,-1.180974424E0,1.533183600E0
1.143491875E0,-1.450331676E-1,1.002728195E0,-1.173534427E0,1.550381084E0
1.153472875E0,-1.196698464E-1,1.056257627E0,-1.373945990E0,1.737161083E0
1.163452875E0,2.017928939E-2,1.041002753E0,-1.475077677E0,1.805532633E0
1.173432875E0,1.333843446E-1,1.032230687E0,-1.277914828E0,1.648137701E0
1.183412875E0,-2.867109105E-3,1.067827001E0,-7.100303203E-1,1.282343862E0
1.193392875E0,-3.324362100E-1,7.733400245E-1,-1.108398199E-2,8.418381566E-1
1.203373875E0,-5.975656322E-1,2.875080322E-1,5.532161826E-1,8.635934796E-1
1.213353875E0,-9.116456781E-1,-1.367040282E-1,1.114959360E0,1.446692852E0
1.223333875E0,-1.063273336E0,-4.151924378E-1,1.999593387E0,2.302457092E0
1.233313875E0,-1.058752999E0,-4.918913157E-1,3.053063427E0,3.268655881E0
1.243293875E0,-1.234944517E0,-2.324760119E-1,3.783758976E0,3.986974423E0
1.253274875E0,-1.261115193E0,2.708676239E-1,3.933381624E0,4.139477237E0
1.263254875E0,-8.341608614E-1,3.055543304E-1,3.670359246E0,3.776337483E0
1.273234875E0,-2.073628419E-1,-4.762087544E-1,3.748773331E0,3.784583942E0
1.283214875E0,2.800315995E-1,-9.702762942E-1,4.329418218E0,4.445640099E0
1.293194875E0,3.153652639E-1,-1.031785056E0,4.874502093E0,4.992474968E0
1.303175875E0,2.053645012E-1,-1.111794481E0,5.257753749E0,5.377939758E0
1.313155875E0,3.098567848E-1,-1.137228188E0,5.191618817E0,5.323739768E0
1.323135875E0,3.822932982E-1,-9.730126449E-1,4.581871753E0,4.699622382E0
1.333115875E0,3.524356244E-1,-5.634247268E-1,3.786500151E0,3.844377932E0
1.343095875E0,5.068659985E-1,-2.748024346E-1,3.175990611E0,3.227901157E0
1.353076875E0,6.372458609E-1,-5.555690291E-1,2.756398509E0,2.883135788E0
1.363056875E0,7.089806720E-1,-1.012330492E0,2.081541529E0,2.420801883E0
1.373036875E0,8.065536712E-1,-1.216850528E0,1.002834322E0,1.771138252E0
1.383016875E0,7.968468547E-1,-1.324378704E0,1.692459029E-1,1.554859491E0
1.392997875E0,1.004665889E0,-1.587437042E0,-2.389833051E-1,1.893785345E0
1.402977875E0,1.276766727E0,-1.857040754E0,-6.660557503E-1,2.349971043E0
1.412957875E0,1.379609457E0,-1.932379935E0,-1.001643244E0,2.576956277E0
1.422937667E0,1.257845722E0,-2.009328416E0,-1.104416245E0,2.615207790E0
1.432917667E0,1.186116100E0,-2.141999400E0,-1.047799410E0,2.663252981E0
1.442898667E0,1.214461721E0,-2.033275249E0,-7.472753298E-1,2.483454435E0
1.452878667E0,1.267769763E0,-1.668966086E0,-3.938818949E-1,2.132564399E0
1.462858667E0,1.431996416E0,-1.102666174E0,-3.026068586E-1,1.832500296E0
1.472838667E0,1.365964102E0,-5.495784470E-1,-2.979080361E-1,1.502212899E0
1.482818667E0,9.291458829E-1,-2.736142438E-1,-4.390247387E-1,1.063447012E0
1.492799667E0,3.592217567E-1,-1.592337155E-1,-8.259414303E-1,9.146446813E-1
1.502779667E0,-1.374694744E-1,3.736734882E-2,-1.341495697E0,1.349038502E0
1.512759667E0,-4.383440131E-1,3.013000059E-1,-1.971527336E0,2.042020373E0
1.522739667E0,-4.705659355E-1,5.160040636E-1,-2.553752725E0,2.647516851E0
1.532719667E0,-2.612408046E-1,7.035290205E-1,-2.925582431E0,3.020303362E0
1.542700667E0,-1.098944713E-1,7.705758264E-1,-3.039765104E0,3.137839350E0
1.552680667E0,-9.068519846E-2,7.186198801E-1,-3.035945703E0,3.121154377E0
1.562660667E0,1.278139398E-1,7.308326671E-1,-3.041816307E0,3.130990137E0
1.572640667E0,3.591517729E-1,8.507304087E-1,-3.072270361E0,3.208048845E0
1.582620667E0,3.805415090E-1,9.843214524E-1,-3.174712409E0,3.345519309E0
1.592601667E0,4.065596817E-1,1.046881909E0,-3.190167185E0,3.382073207E0
1.602581667E0,4.238114895E-1,1.072892078E0,-3.329513935E0,3.523687931E0
1.612561667E0,3.251374596E-1,1.121166325E0,-3.736410563E0,3.914523239E0
1.622541667E0,2.478173516E-1,1.148465075E0,-4.225321407E0,4.385627259E0
1.632521667E0,2.464592261E-1,1.146724140E0,-4.347620600E0,4.503057104E0
1.642502667E0,2.677044629E-1,1.098087584E0,-4.116165000E0,4.268521563E0
1.652482667E0,2.868270508E-1,9.909575305E-1,-3.610031183E0,3.754542812E0
1.662462667E0,1.490885406E-1,8.234188684E-1,-2.855318195E0,2.975413924E0
1.672442667E0,-1.033375864E-1,6.354501079E-1,-2.253398214E0,2.343561181E0
1.682422667E0,-4.677788602E-1,4.552078947E-1,-2.023586267E0,2.126248496E0
1.692403667E0,-6.862678937E-1,4.111877164E-1,-1.827675306E0,1.995103001E0
1.702383667E0,-6.972358815E-1,5.787664685E-1,-1.359373559E0,1.633708962E0
1.712363667E0,-5.612694065E-1,7.791308876E-1,-8.368283612E-1,1.273715036E0
1.722343667E0,-2.239911538E-1,8.100193159E-1,-2.611384052E-1,8.800548823E-1
1.732323667E0,3.631917603E-2,8.270480159E-1,2.345628101E-1,8.604343177E-1
1.742304667E0,3.895669787E-1,1.010092178E0,5.419041592E-1,1.210664593E0
1.752284667E0,3.614711075E-1,1.162114377E0,8.852684498E-1,1.504948974E0
1.762264667E0,7.332328029E-2,8.414599407E-1,9.595649260E-1,1.278356751E0
1.772244667E0,-1.178537378E-1,3.479257401E-1,1.126843241E0,1.185207793E0
1.782224667E0,-1.353529194E-1,-9.446609946E-2,1.749220290E0,1.756990575E0
1.792205667E0,-1.427811856E-1,-5.701087886E-1,3.259378923E0,3.311942249E0
1.802185667E0,-2.167513141E-1,-5.608542542E-1,5.220269004E0,5.254783259E0
1.812165667E0,-4.790701260E-1,2.666821869E-1,5.945922500E0,5.971149131E0
1.822145667E0,-3.566427326E-1,7.002260014E-1,5.429140903E0,5.485716128E0
1.832125667E0,-1.258500976E-1,9.280159085E-1,4.748191125E0,4.839666386E0
1.842106667E0,1.711185833E-1,1.828052598E0,4.284319813E0,4.661164460E0
